"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Impressions,Reach,IMPRESSION:UNIQUE_USERS,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks",Views,"Impressions from Unpaid posts","Impressions from Boosted posts","Reach from Organic posts","Reach from Boosted posts",IMPRESSION:UNIQUE_USERS,"3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Engaged users","Negative feedback from users","Unique negative feedback from users",REELS_PLAYS:COUNT,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad impressions","Ad CPM (USD)"
1116573946859629,100055211027046,"Rebecca Block Art and Design","Someone asked me the other day if my tropical garden where I teach watercolor paint nights is ""magical."" I'll let the pictures speak for themselves.",,0,"12/06/2024 20:39",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid02hVxtJhQdAauXTAAvRe68HsEZf7GSU8QCJdg7UQVW5ofZ9AW9cve7cKLfSiLF3UJ4l,0,0,Photos,,,,,Lifetime,0,151,143,,24,21,3,0,52,24,28,,0,151,0,143,0,,0,0,0,0,0,0,34,0,0,,,,,,
1116891866827837,100055211027046,"Rebecca Block Art and Design","Head over to the site (HawaiiArtClasses.com) to register for Christmas Workshops....with a tropical flair! Any two Christmas workshop registrations gets you 20% off automatically in the cart. So you can sign yourself up for two or more workshops. Sign up you and a friend. Sign up two kids. Doesn't matter as long as it's two. Woohoo!

All classes are suitable for ages 9 and up. Location is my home-based studio in Waipahu. It's cozy and breezy (at the same time - IYKYK), and there will be Chai!

-Wreaths & card projects are in my faaaavorite type of paint - Watercolor! (with a touch of gouache and shimmery stuff!) 

-Creative Open Studio times have a variety of materials available for your open-ended creative projects you've been itching to make. I know you have them! And I'm happy to help you bring them to life!

If you've registered for classes or private lessons this year, be on the lookout for an email about a special thank-you event one of these upcoming weekends. You guys are awesome, and I'm so grateful to be a part of you and your kids' art journeys this year!",,0,"12/07/2024 07:02",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid0K1LknrF6Hxt8T1PiMzbUn4raH6LQijZF9H5axC17gSxwkAhXGePNrqgZtfTXDB3Yl,0,0,Photos,,,,,Lifetime,0,36,32,,0,0,0,0,0,,,,0,36,0,32,0,,0,0,0,0,0,0,0,0,0,,,,,,
1121362083047482,100055211027046,"Rebecca Block Art and Design","I thought this video (link in comments) was really thoughtful when it comes to genuine art content on the internet. If you have a young artist who is learning by a lot of videos, especially if they have ""favorites,"" this would be a good video to watch with them.",,0,"12/13/2024 17:58",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid02QyuWwX5W1VS2D6Ty3wKDLCBtSABjE3TdG2NmBUWiX6DjSyUwNX4EefQZXq4HMw7l,0,0,Text,,,,,Lifetime,0,66,64,,2,1,1,0,8,,8,,0,66,0,64,0,,0,0,0,0,0,0,7,0,0,,,,,,
1125047156012308,100055211027046,"Rebecca Block Art and Design","Y'all, I just got a business landline. 🤣 It turns out I couldn't get an 808 area code through my cell provider! And I didn't want to change the cell number I've had for a Very Long Time.  But I also wanted an 808 area code for my art lessons!  And I didn't want my personal cell number on everything!! So now I have an 808 business LAND line. Suffice to say, my kids are mystified at this two-wire contraption that can't leave the house. But I'm kinda digging that early-aughts look!

I'm about to update my online listings with this phone number, so let's see how long it takes to start getting the spammers and scammers! (Anyone for less than 24 hrs? 72? Less than a week for sure!)

P.S. You can still text my cell if you have it, no worries!",,0,"12/18/2024 16:36",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid0eSPZLP7F4rzgV6EdaHNTcdJmTMj3FUyCn6TofuY1J55PxDScA5ZntQnnSGDbLTmCl,0,0,Photos,,,,,Lifetime,0,79,73,,2,2,0,0,3,1,2,,0,79,0,73,0,,0,0,0,0,0,0,3,0,0,,,,,,
1125166079333749,100055211027046,"Rebecca Block Art and Design","There are lots of creative, handmade gifts and art at this place in Kapolei if you're looking for something unique!",,0,"12/18/2024 19:42",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid02gkiYiSXsXhtCJMJ4rqodtpj3um4Bo8Mwuhu9pn3GN7suiNBYCGAXqZrTRMSPaMYyl,0,1,Photos,,,,,Lifetime,0,27,26,,0,0,0,0,0,,,,0,27,0,26,0,,0,0,0,0,0,0,0,0,0,,,,,,
1126514755865548,100055211027046,"Rebecca Block Art and Design","Something fun to discuss: https://www.centraloregondaily.com/news/local/colbert-bend-googly-eye-bandit/article_e7f57428-b994-11ef-b2ee-2b4ff6ac1de1.htm

My take....Art put in public places should inherently expect to be subject to the additions and opinions of the public. Sometimes it's graffitied and torn down (as in the example of statues of southern Confederate generals). Sometimes it's torn out of the sides of buildings and auctioned off (as in the example of Banksy's graffiti). And sometimes it gets googly eyes stuck to it. 

The last one is my personal favorite. If I ever do a mural, I hope the public adds giant googly eyes to it. 

Actually, maybe I'll just straight-up add them myself. I already have them on my studio desk lights!l",,0,"12/20/2024 10:42",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid037FYK19dmcqa3QUipYLvmG2WyqCnFeW76kMfmNPcNGdu9k9ZR1Q1c4EH4DtBTBnWvl,0,0,Photos,,,,,Lifetime,0,38,35,,0,0,0,0,0,,,,0,38,0,35,0,,0,0,0,0,0,0,0,0,0,,,,,,
1126705919179765,100055211027046,"Rebecca Block Art and Design","Anyone who has been or who had a student in my classes this year is invited to come Saturday for this free event! We'll be making some watercolor cards and gift tags! Check your email for the special invite and to register for an hour time slot! :-) Bring your 'ohana (but please stay with the kids). And Mele Kalikimaka if I don't see you by then! 

P.S. There's also ornament making for 'ohana (ages 5+ and their grownups) on Sunday for just $10. Space is limited. Just say ""I want to come!"" below if you want the link to register!

#hawaiiartclasses #melekalikimaka #artlessons #watercolorlesson #waipahu #ohana #oahuevents #hawaiiartist","Anyone who has been or who had a student in my classes this year is invited to come Saturday for this free event! We'll be making some watercolor cards and gift tags! Check your email for the special invite and to register for an hour time slot! :-) Bring your 'ohana (but please stay with the kids). And Mele Kalikimaka if I don't see you by then! 

P.S. There's also ornament making for 'ohana (ages 5+ and their grownups) on Sunday for just $10. Space is limited. Just say ""I want to come!"" below if you want the link to register!

#hawaiiartclasses #melekalikimaka #artlessons #watercolorlesson #waipahu #ohana #oahuevents #hawaiiartist",57,"12/20/2024 17:27",N/A,https://www.facebook.com/reel/510998955282912/,1,0,Reels,,,,,Lifetime,0,44,39,,3,3,0,0,0,,,,0,44,0,39,0,,,,,,0,17,,,,52,317.796,7.944,0,0,
1128009709049386,100055211027046,"Rebecca Block Art and Design","Who else is multitasking on O'ahu today?! The Eddie is ON! I love Luke and his story but I'm also rooting for a wahine win! Thanks to the hosts for talking about using local artists for the event & organization! 🤙

#oahuartist #theeddie #anthurium #watercolor #hawaiiartclasses",,0,"12/22/2024 13:12",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid0WVCKBkW6QNKhrdSPV8H8BdpG2wzSspw4f7FRJnwTy8QxC2kt8TZ5R81VKX1c66Xol,0,0,Photos,,,,,Lifetime,0,54,47,,1,1,0,0,7,4,3,,0,54,0,47,0,,0,0,0,0,0,0,4,0,0,,,,,,
1144814007368956,100055211027046,"Rebecca Block Art and Design","I don't often actually record how long I spend on a drawing or painting. But today I happened to have it going on my screen cast while I prepped my drawing and worked on a value study. Two hours and forty-one minutes and I'm not actually done prepping for what will ultimately be a watercolor painting of these orchids. Loving it though....shout out to Sophia who asked about my secret orchid paintings I've been keeping to myself for years. She made me realize how much I desire a complicated watercolor project. I'm excited to try it on canvas!

#oahuartist #hawaiiartist #orchidlover #orchidshow",,0,"01/14/2025 22:43",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid05fb3cwwro6T3Va6K7k6cUMnrkrp2hgKkyAkLQz3VfD7kTLXzFaYcQWoNhe8qTecel,0,0,Photos,,,,,Lifetime,0,104,93,,20,9,11,0,37,29,8,,0,104,0,93,0,,0,0,0,0,0,0,23,0,0,,,,,,
1149682596882097,100055211027046,"Rebecca Block Art and Design","Stuff I did this weekend: 
✅The lovely #roadtohana with my family...and back again (and btw, it's not that bad if you've got a country boy driving ya while you passenger princess) 🤣
✅Painted red sand and turquoise waters on #Kaihalulu Beach (it's not as vibrantly red as many photos out there lead you to believe)
✅Attended koholā party in Ma'alaea Bay
✅Paddled outrigger canoe and watched the sun rise over the mountains
✅Investigated ""weird"" washed-up things on the beach, like wana and ula poni
✅Held a giant parrot in my hands, on each shoulder, and on my head. At the same time. (Don't tell my #Waipahu chicken friends, but I loved the parrots more.)
✅Bought #maui chocolate, mandarins, manzanas, and coconut candy from roadside stands
✅Itched to get back to an orchid painting I started last week
✅Didn't watch TV or the ongoing telenovela americana, and it was fahhhhhbulous.

P.S. I have manually adjusted the color and contrast in this photo to look more like what I saw IRL, but IG might be adding a label required by Meta as ""using AI."" It's exactly the type of simple edit I did before ""AI"" existed - the type of settings that were available in all photo-editing software for all time. I guess they're calling it by a different name now. At any rate, it was 100% taken by my husband on his phone and adjusted manually by me in my phone's original camera app to look more accurate than the camera's color and contrast processing. I never use AI to fake stuff, just to occasionally edit things I've personally written to make them more clear and concise. But not this, as you can probably tell by my long-winded paragraph with the subversive insinuation that I have an ongoing annoyance with disgenuous ""influencer"" photos.
#hawaiiartclasses #oahuartist #hawaii #hawaiitravel",,0,"01/21/2025 14:44",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid02rP7EzgVYHXKDytTnt6g6xeqfCTnKWSRnypBfoHBXXvtswzcuarU5bFaG45miZxQol,0,0,Photos,,,,,Lifetime,0,141,132,,26,17,9,0,33,8,25,,0,141,0,132,0,,0,0,0,0,0,0,26,0,0,,,,,,
